
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
CC:08:FB:EF:C7:50, 2019-07-08 13:24:03, 2019-07-08 13:30:01,  1,  54, WPA2 WPA, CCMP,PSK, -71,       13,        0,   0.  0.  0.  0,  11, shangduofen, 
74:C3:30:76:4C:D2, 2019-07-08 13:25:53, 2019-07-08 13:33:57, 13,  54, WPA2, CCMP,PSK, -77,       14,        0,   0.  0.  0.  0,   4, e101, 
40:31:3C:0D:58:C5, 2019-07-08 13:24:15, 2019-07-08 13:34:01,  5,  54, WPA2, CCMP TKIP,PSK, -67,       29,       34,   0.  0.  0.  0,   4, scxt, 
EC:88:8F:30:1A:66, 2019-07-08 13:24:23, 2019-07-08 13:34:02,  6,  54, WPA2 WPA, CCMP,PSK, -68,       57,        0,   0.  0.  0.  0,  14, TP-LINK_301A66, 
FC:D7:33:CA:11:6C, 2019-07-08 13:24:23, 2019-07-08 13:33:55,  6,  54, WPA2 WPA, CCMP,PSK, -70,       35,        0,   0.  0.  0.  0,   4, 0000, 
30:FC:68:C5:54:19, 2019-07-08 13:25:57, 2019-07-08 13:33:41, 11,  54, WPA2 WPA, CCMP,PSK, -72,       13,        2,   0.  0.  0.  0,  12, TP-LINK_5419, 
94:D9:B3:5C:68:BD, 2019-07-08 13:26:04, 2019-07-08 13:33:41,  6,  54, WPA2 WPA, CCMP,PSK, -72,        4,        0,   0.  0.  0.  0,   6, 86866., 
BC:46:99:1F:BE:38, 2019-07-08 13:25:51, 2019-07-08 13:33:07,  6,  54, WPA2 WPA, CCMP,PSK, -71,        4,        0,   0.  0.  0.  0,  12, TP-LINK_BE38, 
50:FA:84:19:D1:D0, 2019-07-08 13:25:51, 2019-07-08 13:31:28,  6,  54, WPA2 WPA, CCMP,PSK, -70,        6,        0,   0.  0.  0.  0,  12, TP-LINK_D1D0, 
58:EF:68:C0:E4:D5, 2019-07-08 13:24:26, 2019-07-08 13:32:45,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C8:3A:35:C9:81:D8, 2019-07-08 13:24:42, 2019-07-08 13:34:07, 10,  54, WPA2, CCMP,PSK, -73,       18,        0,   0.  0.  0.  0,   2, zy, 
04:40:A9:2E:F1:1E, 2019-07-08 13:24:30, 2019-07-08 13:27:41,  1,  54, WPA2, CCMP TKIP,PSK, -73,        1,        0,   0.  0.  0.  0,   8, Danke404, 
DC:71:37:2E:AA:07, 2019-07-08 13:24:32, 2019-07-08 13:33:12,  8,  -1, WPA, ,   ,  -1,        0,       17,   0.  0.  0.  0,   0, , 
6C:A8:58:D0:97:FC, 2019-07-08 13:24:46, 2019-07-08 13:33:44,  8,  54, WPA2, CCMP,PSK, -72,       21,        0,   0.  0.  0.  0,   7, CU_8FQ5, 
50:BD:5F:14:A2:F5, 2019-07-08 13:24:53, 2019-07-08 13:33:52,  3,  54, WPA2 WPA, CCMP,PSK, -69,       21,        0,   0.  0.  0.  0,   4, gp22, 
78:44:FD:1B:0E:C4, 2019-07-08 13:25:19, 2019-07-08 13:27:34,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A6:D9:B3:5C:68:BD, 2019-07-08 13:25:44, 2019-07-08 13:32:12,  6,  54, WPA2 WPA, CCMP,PSK, -72,        9,        0,   0.  0.  0.  0,  18, \xE6\xBD.\xE5\xAE\xB6\xE5.\xAD\xE5\xAE.\xE6.\xA5\xE9.., 
14:3D:F2:70:2A:64, 2019-07-08 13:25:44, 2019-07-08 13:32:12, 12,  54, WPA2, CCMP TKIP,PSK, -74,        1,        0,   0.  0.  0.  0,   9, litianhao, 
A4:9B:4F:AC:B2:20, 2019-07-08 13:25:58, 2019-07-08 13:27:55,  1,  54, WPA2, CCMP,PSK, -75,        2,        0,   0.  0.  0.  0,  20, HUAWEI-LSE2WQ_HiLink, 
E4:F3:F5:49:64:FE, 2019-07-08 13:25:57, 2019-07-08 13:32:11, 11,  54, WPA2 WPA, CCMP,PSK, -75,        1,        0,   0.  0.  0.  0,   9, \xE4\xB8.\xE4\xBA.\xE5.\xB4, 
B0:DF:C1:E7:CA:41, 2019-07-08 13:24:18, 2019-07-08 13:32:56,  2,  54, WPA2, CCMP TKIP,PSK, -71,       10,        0,   0.  0.  0.  0,  12, Tenda_E7CA40, 
CC:08:FB:6B:E4:EC, 2019-07-08 13:24:09, 2019-07-08 13:34:08, 11,  54, WPA2, CCMP,PSK, -73,       38,        2,   0.  0.  0.  0,  12, TP-LINK_E4EC, 
14:69:A2:2C:C5:C9, 2019-07-08 13:24:46, 2019-07-08 13:31:09,  3,  54, WPA2, CCMP,PSK, -72,        4,        0,   0.  0.  0.  0,   7, CU_MjSA, 
34:CE:00:35:F6:C8, 2019-07-08 13:23:54, 2019-07-08 13:32:45,  4,  54, WPA2, CCMP TKIP,PSK, -68,        1,       17,   0.  0.  0.  0,   3, 603, 
6A:FE:A1:DA:51:A6, 2019-07-08 13:25:20, 2019-07-08 13:33:11,  3,  54, WPA2, CCMP,PSK, -70,       14,        0,   0.  0.  0.  0,   7, CU_ZabZ, 
BC:54:FC:01:75:FC, 2019-07-08 13:23:54, 2019-07-08 13:33:54, 10,  54, WPA2, CCMP,PSK, -67,       65,        7,   0.  0.  0.  0,   0, , 
A4:9B:4F:AC:B2:25, 2019-07-08 13:26:33, 2019-07-08 13:26:33,  1,  54, WPA2, CCMP,PSK, -76,        1,        0,   0.  0.  0.  0,   8, \x00\x00\x00\x00\x00\x00\x00\x00, 
30:B4:9E:10:3F:94, 2019-07-08 13:24:03, 2019-07-08 13:33:22,  1,  54, WPA2 WPA, CCMP,PSK, -72,       32,        0,   0.  0.  0.  0,   3, 888, 
38:91:D5:51:8C:20, 2019-07-08 13:24:16, 2019-07-08 13:33:55,  6,  54, WEP, WEP,   , -72,       37,        0,   0.  0.  0.  0,   9, JINGLISHI, 
04:40:A9:2E:F1:1C, 2019-07-08 13:25:18, 2019-07-08 13:29:24,  1,  54, OPN, ,   , -74,        7,        0,   0.  0.  0.  0,   0, , 
D0:76:E7:06:D3:EA, 2019-07-08 13:23:50, 2019-07-08 13:33:01,  1,  54, WPA2 WPA, CCMP,PSK, -74,       11,        0,   0.  0.  0.  0,  12, TP-LINK_1203, 
FC:75:16:99:39:8A, 2019-07-08 13:25:24, 2019-07-08 13:31:29,  1,  54, WPA2, CCMP TKIP,PSK, -72,       32,        1,   0.  0.  0.  0,   5, dlink, 
4C:D1:A1:EC:AA:71, 2019-07-08 13:24:03, 2019-07-08 13:33:08,  1,  54, WPA2, CCMP,PSK, -71,       32,        0,   0.  0.  0.  0,   0, , 
C0:61:18:B0:F7:18, 2019-07-08 13:25:23, 2019-07-08 13:32:53, 11,  54, WPA2 WPA, CCMP,PSK, -73,       46,        0,   0.  0.  0.  0,  12, TP-LINK_F718, 
04:40:A9:2E:F1:1F, 2019-07-08 13:24:03, 2019-07-08 13:32:48,  1,  54, WPA2, CCMP TKIP,PSK, -71,       12,        0,   0.  0.  0.  0,  12, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
C8:3A:35:52:FC:18, 2019-07-08 13:23:52, 2019-07-08 13:33:24,  3,  54, WPA2 WPA, CCMP,PSK, -69,       57,        0,   0.  0.  0.  0,   2, LL, 
E4:D3:32:A2:A2:F0, 2019-07-08 13:24:02, 2019-07-08 13:32:32, 11,  54, WPA2 WPA, CCMP,PSK, -72,       39,        0,   0.  0.  0.  0,   2, tt, 
00:5A:13:50:DC:40, 2019-07-08 13:23:57, 2019-07-08 13:32:48,  1,  54, WPA2, CCMP,PSK, -72,       34,        0,   0.  0.  0.  0,   3, 905, 
E4:D3:32:E7:E0:D7, 2019-07-08 13:24:03, 2019-07-08 13:34:03,  1,  54, WPA2 WPA, CCMP,PSK, -71,       46,        0,   0.  0.  0.  0,   3, bgs, 
EC:6C:9F:9F:ED:79, 2019-07-08 13:24:16, 2019-07-08 13:33:28,  6,  54, WPA2, CCMP,PSK, -68,       41,        1,   0.  0.  0.  0,   8, PKUFI-CY, 
D4:9E:05:20:0F:1F, 2019-07-08 13:25:55, 2019-07-08 13:33:46,  9,  54, WPA2, CCMP,PSK, -74,       10,        0,   0.  0.  0.  0,   7, CU_3eYR, 
78:44:FD:5B:D1:40, 2019-07-08 13:24:02, 2019-07-08 13:34:08, 11,  54, WPA2 WPA, CCMP,PSK, -70,       74,        2,   0.  0.  0.  0,  12, TP-LINK_D140, 
4C:D1:A1:EC:AA:6C, 2019-07-08 13:24:03, 2019-07-08 13:33:22,  1,  54, WPA2, CCMP,PSK, -71,       35,        5,   0.  0.  0.  0,   6, chenwy, 
34:CE:00:40:20:16, 2019-07-08 13:25:38, 2019-07-08 13:33:22,  1,  54, WPA2, CCMP TKIP,PSK, -71,       39,        7,   0.  0.  0.  0,   8, xiaohong, 
64:13:6C:B0:1C:6D, 2019-07-08 13:24:35, 2019-07-08 13:34:01,  5,  54, WPA2, CCMP,PSK, -70,       29,        0,   0.  0.  0.  0,   7, CU_CGAt, 
9C:32:A9:73:10:91, 2019-07-08 13:24:02, 2019-07-08 13:33:54, 11,  54, WPA2, CCMP,PSK, -70,      130,        0,   0.  0.  0.  0,   7, CU_DXJP, 
B8:08:D7:71:D4:A8, 2019-07-08 13:24:01, 2019-07-08 13:34:08, 11,  54, WPA2, CCMP,PSK, -66,      102,        0,   0.  0.  0.  0,  13, SungoaStudios, 
BC:54:FC:7F:5D:AB, 2019-07-08 13:23:49, 2019-07-08 13:33:57, 13,  54, WPA2, CCMP,PSK, -73,      105,        9,   0.  0.  0.  0,   7, \xE7\xA7.\xE6..1, 
78:44:FD:B2:E2:EB, 2019-07-08 13:23:55, 2019-07-08 13:34:08, 11,  54, WPA2, CCMP,PSK, -68,      100,        3,   0.  0.  0.  0,  15, TP-LINK_YYYYYYY, 
D8:32:14:D7:1D:C0, 2019-07-08 13:24:05, 2019-07-08 13:32:00,  2,  54, WPA2, CCMP,PSK, -71,       14,        0,   0.  0.  0.  0,   4, 1202, 
4C:D1:A1:EC:AA:6D, 2019-07-08 13:24:03, 2019-07-08 13:32:48,  1,  54, WPA2, CCMP,PSK, -71,       38,        0,   0.  0.  0.  0,   0, , 
CC:08:FB:12:0F:EE, 2019-07-08 13:24:17, 2019-07-08 13:34:03,  1,  54, WPA2 WPA, CCMP,PSK, -68,       43,        0,   0.  0.  0.  0,   3, yjt, 
80:89:17:9B:36:7C, 2019-07-08 13:24:17, 2019-07-08 13:33:08,  1,  54, WPA2 WPA, CCMP,PSK, -70,       22,        0,   0.  0.  0.  0,  12, TP-LINK_367C, 
88:25:93:30:CA:94, 2019-07-08 13:24:23, 2019-07-08 13:34:02,  6,  54, WPA2 WPA, CCMP,PSK, -68,       68,        0,   0.  0.  0.  0,   4, mmii, 
D4:EE:07:2E:F8:AC, 2019-07-08 13:24:17, 2019-07-08 13:34:03,  7,  54, WPA2, CCMP,PSK, -68,      121,        3,   0.  0.  0.  0,  13, HiWiFi_2EF8AC, 
C4:36:55:43:70:9B, 2019-07-08 13:24:01, 2019-07-08 13:33:53,  4,  54, WPA2, CCMP,PSK, -70,       64,       19,   0.  0.  0.  0,   6, GX-360, 
D0:76:E7:14:E8:08, 2019-07-08 13:23:50, 2019-07-08 13:33:49,  1,  54, WPA2, CCMP,PSK, -65,       34,        0,   0.  0.  0.  0,  10, ziroom1202, 
BC:D1:77:DC:C2:8E, 2019-07-08 13:23:50, 2019-07-08 13:33:49,  1,  54, WPA2 WPA, CCMP,PSK, -60,       83,       38,   0.  0.  0.  0,  14, TP-LINK_DCC28E, 
A4:56:02:3B:12:75, 2019-07-08 13:23:53, 2019-07-08 13:34:06,  9,  54, WPA2, CCMP,PSK, -66,      134,       27,   0.  0.  0.  0,  14, 360WiFi-3B1275, 
A4:56:02:3B:12:78, 2019-07-08 13:24:07, 2019-07-08 13:34:07,  9,  54, OPN, ,   , -66,      121,       23, 192.168.  0.  1,  22, 360\xE6.\xA9\xE6.\xA6\xE4\xB8.\xE7\xBD.-3b1278, 
D0:76:E7:50:13:54, 2019-07-08 13:24:02, 2019-07-08 13:34:08, 11,  54, WPA2, CCMP,PSK, -63,      121,        0,   0.  0.  0.  0,  11, TP-LINK_702, 
24:69:68:62:87:86, 2019-07-08 13:23:50, 2019-07-08 13:34:03,  1,  54, WPA2 WPA, CCMP,PSK, -66,       60,        0,   0.  0.  0.  0,  12, TP-LINK_8786, 
50:BD:5F:AE:A7:A2, 2019-07-08 13:23:56, 2019-07-08 13:34:02,  6,  54, WPA2 WPA, CCMP,PSK, -65,      119,        0,   0.  0.  0.  0,   3, lyb, 
78:44:FD:1B:0A:14, 2019-07-08 13:23:55, 2019-07-08 13:34:09,  6,  54, WPA2, CCMP TKIP,PSK, -60,      133,       89,   0.  0.  0.  0,  13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
B8:F8:83:E2:A8:71, 2019-07-08 13:23:50, 2019-07-08 13:34:03,  1,  54, WPA2, CCMP TKIP,PSK, -63,       80,        0,   0.  0.  0.  0,  15, \xE5..\xE5\xA4.\xE4\xB8\xBD\xE5.\xAD903, 
9C:32:A9:73:03:31, 2019-07-08 13:23:50, 2019-07-08 13:34:03,  1,  54, WPA2, CCMP,PSK, -59,       80,        1,   0.  0.  0.  0,   7, CU_AmGA, 
34:96:72:27:1C:9C, 2019-07-08 13:23:50, 2019-07-08 13:34:03,  1,  54, WPA2 WPA, CCMP,PSK, -60,       93,       53,   0.  0.  0.  0,  14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G3, 
78:44:FD:1B:0D:84, 2019-07-08 13:23:55, 2019-07-08 13:34:08, 11,  54, WPA2, CCMP TKIP,PSK, -55,      152,      107,   0.  0.  0.  0,  13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
34:96:72:26:47:BC, 2019-07-08 13:23:55, 2019-07-08 13:34:09,  6,  54, WPA2 WPA, CCMP,PSK, -56,      157,      517,   0.  0.  0.  0,  14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G4, 
78:44:FD:DD:04:5A, 2019-07-08 13:23:54, 2019-07-08 13:34:08, 11,  54, WPA2, CCMP TKIP,PSK, -49,      183,       84,   0.  0.  0.  0,  13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
28:2C:B2:B5:48:DA, 2019-07-08 13:23:54, 2019-07-08 13:34:08, 11,  54, WPA2 WPA, CCMP,PSK, -51,      202,        0,   0.  0.  0.  0,  11, \xC9\xBD\xCB\xAE\xCF\xEF2.4G2, 
44:48:C1:1A:16:90, 2019-07-08 13:23:50, 2019-07-08 13:34:03,  1,  54, WPA, TKIP,PSK, -37,      174,        0,   0.  0.  0.  0,   7, sfddwrt, 
FC:D7:33:E7:1B:78, 2019-07-08 13:23:50, 2019-07-08 13:34:03,  1,  54, WPA2 WPA, CCMP,PSK, -33,      152,     1668,   0.  0.  0.  0,  14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G1, 
5C:63:BF:E2:BB:FA, 2019-07-08 13:23:57, 2019-07-08 13:34:09,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -34,      212,       36,   0.  0.  0.  0,  14, TP-LINK_E2BBFA, 
FE:01:7C:78:D1:70, 2019-07-08 13:23:56, 2019-07-08 13:34:09,  6,  54, WPA2, CCMP,PSK, -20,      181,        0,   0.  0.  0.  0,  26, DIRECT-70-HP M130 LaserJet, 
80:9F:AB:0E:15:7A, 2019-07-08 13:26:20, 2019-07-08 13:27:43,  2,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
F4:28:53:7A:0F:C6, 2019-07-08 13:26:49, 2019-07-08 13:33:59,  9,  54, WPA2, CCMP,PSK, -72,        6,        0,   0.  0.  0.  0,   7, wuliqun, 
88:66:39:92:40:28, 2019-07-08 13:26:53, 2019-07-08 13:30:41,  1,  54, WPA2, CCMP,PSK, -71,       10,        0,   0.  0.  0.  0,   7, CU_CHNw, 
C4:47:3F:EF:6C:9C, 2019-07-08 13:27:18, 2019-07-08 13:27:19,  5,  54, WPA2, CCMP,PSK, -73,        2,        0,   0.  0.  0.  0,   7, CU_9mPf, 
44:D1:FA:1F:77:28, 2019-07-08 13:27:27, 2019-07-08 13:32:48,  1,  54, WPA2, CCMP TKIP,PSK, -70,       13,        0,   0.  0.  0.  0,  13, LAFALINK-2.4G, 
EC:6C:9F:9F:ED:92, 2019-07-08 13:27:33, 2019-07-08 13:33:00, 11,  54, WPA2, CCMP,PSK, -73,        0,        0,   0.  0.  0.  0,   8, PKUFI-CY, 
BC:46:99:27:F8:A2, 2019-07-08 13:27:33, 2019-07-08 13:33:48,  6,  54, WPA2 WPA, CCMP,PSK, -72,        8,        0,   0.  0.  0.  0,  12, TP-LINK_F8A2, 
BC:54:FC:F7:B8:A4, 2019-07-08 13:27:34, 2019-07-08 13:27:34,  1,  54, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,  12, MERCURY_B8A4, 
20:76:93:21:CD:E8, 2019-07-08 13:27:42, 2019-07-08 13:28:37, 13,  54, WPA2, CCMP,PSK, -75,        2,        0,   0.  0.  0.  0,   9, David-DWQ, 
34:CE:00:40:A7:F6, 2019-07-08 13:27:48, 2019-07-08 13:33:42,  1,  54, WPA2, CCMP TKIP,PSK, -71,       12,        0,   0.  0.  0.  0,  11, dandan15888, 
BC:54:FC:2F:58:F2, 2019-07-08 13:27:53, 2019-07-08 13:34:01, 11,  54, WPA2, CCMP,PSK, -72,       24,        0,   0.  0.  0.  0,  12, MERCURY_58F2, 
74:A7:8E:80:4B:3E, 2019-07-08 13:27:53, 2019-07-08 13:31:48, 11,  54, WPA2 WPA, CCMP,PSK, -72,        3,        0,   0.  0.  0.  0,   7, CU_9bYS, 
