,,,,,,,,,,,,,,,
 ESSID,BSSID, Power, channel,, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
 tt,E4:D3:32:A2:A2:F0,-73,11,,54, WPA2 WPA, CCMP,PSK,-73,13,0,   0.  0.  0.  0,2, tt, 
 CU_9bYS,74:A7:8E:80:4B:3E,-73,11,,54, WPA2 WPA, CCMP,PSK,-73,22,0,   0.  0.  0.  0,7, CU_9bYS, 
 TP-LINK_E4EC,CC:08:FB:6B:E4:EC,-74,11,,54, WPA2, CCMP,PSK,-74,9,0,   0.  0.  0.  0,12, TP-LINK_E4EC, 
 gp22,50:BD:5F:14:A2:F5,-71,3,,54, WPA2 WPA, CCMP,PSK,-71,2,0,   0.  0.  0.  0,4, gp22, 
 ,D6:EE:07:67:B7:C5,-72,8,,54, WPA2, CCMP,PSK,-72,1,0,   0.  0.  0.  0,0, , 
 litianhao,14:3D:F2:70:2A:64,-74,12,,54, WPA2, CCMP TKIP,PSK,-74,1,0,   0.  0.  0.  0,9, litianhao, 
 ,88:3F:D3:AA:B2:94,-1,7,,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
 ,70:AF:6A:21:A9:4B,-1,11,,-1, WPA, ,   ,-1,0,2,   0.  0.  0.  0,0, , 
 CU_MjSA,14:69:A2:2C:C5:C9,-68,3,,54, WPA2, CCMP,PSK,-68,1,0,   0.  0.  0.  0,7, CU_MjSA, 
 SGM OnStar 9736,F0:AB:54:E9:18:5E,-69,6,,54, WPA2, TKIP,PSK,-69,1,0,   0.  0.  0.  0,15, SGM OnStar 9736, 
 CU_CHNw,88:66:39:92:40:28,-73,1,,54, WPA2, CCMP,PSK,-73,7,0,   0.  0.  0.  0,7, CU_CHNw, 
 TP-LINK_1203,D0:76:E7:06:D3:EA,-72,1,,54, WPA2 WPA, CCMP,PSK,-72,1,0,   0.  0.  0.  0,12, TP-LINK_1203, 
 BCXX-NM,14:75:90:C0:A3:26,-70,6,,54, WPA2 WPA, CCMP,PSK,-70,1,0,   0.  0.  0.  0,7, BCXX-NM, 
 TP-LINK_301A66,EC:88:8F:30:1A:66,-72,6,,54, WPA2 WPA, CCMP,PSK,-72,10,0,   0.  0.  0.  0,14, TP-LINK_301A66, 
 dlink,FC:75:16:99:39:8A,-73,1,,54, WPA2, CCMP TKIP,PSK,-73,5,0,   0.  0.  0.  0,5, dlink, 
 JINGLISHI,38:91:D5:51:8C:20,-72,6,,54, WEP, WEP,   ,-72,3,0,   0.  0.  0.  0,9, JINGLISHI, 
 David-DWQ,20:76:93:21:CD:E8,-75,13,,54, WPA2, CCMP,PSK,-75,11,0,   0.  0.  0.  0,9, David-DWQ, 
 PKUFI-CY,EC:6C:9F:9F:ED:92,-76,11,,54, WPA2, CCMP,PSK,-76,7,1,   0.  0.  0.  0,8, PKUFI-CY, 
 \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,04:40:A9:2E:F1:1F,-76,1,,54, WPA2, CCMP TKIP,PSK,-76,1,0,   0.  0.  0.  0,12, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
 e101,74:C3:30:76:4C:D2,-76,13,,54, WPA2, CCMP,PSK,-76,27,1,   0.  0.  0.  0,4, e101, 
 qipaishi,C0:A5:DD:33:58:D1,-74,12,,54, WPA2, CCMP,PSK,-74,1,1,   0.  0.  0.  0,8, qipaishi, 
 \xE4\xB8.\xE4\xBA.\xE5.\xB4,E4:F3:F5:49:64:FE,-74,11,,54, WPA2 WPA, CCMP,PSK,-74,1,0,   0.  0.  0.  0,9, \xE4\xB8.\xE4\xBA.\xE5.\xB4, 
 TP-LINK_F718,C0:61:18:B0:F7:18,-70,11,,54, WPA2 WPA, CCMP,PSK,-70,20,0,   0.  0.  0.  0,12, TP-LINK_F718, 
 bgs,E4:D3:32:E7:E0:D7,-72,1,,54, WPA2 WPA, CCMP,PSK,-72,10,0,   0.  0.  0.  0,3, bgs, 
 wuliqun,F4:28:53:7A:0F:C6,-72,9,,54, WPA2, CCMP,PSK,-72,3,0,   0.  0.  0.  0,7, wuliqun, 
 ,4C:D1:A1:EC:AA:6D,-67,1,,54, WPA2, CCMP,PSK,-67,20,0,   0.  0.  0.  0,0, , 
 Danke404,04:40:A9:2E:F1:1E,-73,1,,54, WPA2, CCMP TKIP,PSK,-73,9,0,   0.  0.  0.  0,8, Danke404, 
 dandan15888,34:CE:00:40:A7:F6,-72,1,,54, WPA2, CCMP TKIP,PSK,-72,10,0,   0.  0.  0.  0,11, dandan15888, 
 chenwy,4C:D1:A1:EC:AA:6C,-65,1,,54, WPA2, CCMP,PSK,-65,19,4,   0.  0.  0.  0,6, chenwy, 
 CU_3eYR,D4:9E:05:20:0F:1F,-72,9,,54, WPA2, CCMP,PSK,-72,16,0,   0.  0.  0.  0,7, CU_3eYR, 
 ,4C:D1:A1:EC:AA:71,-71,1,,54, WPA2, CCMP,PSK,-71,18,0,   0.  0.  0.  0,0, , 
 zy,C8:3A:35:C9:81:D8,-76,10,,54, WPA2, CCMP,PSK,-76,23,10,   0.  0.  0.  0,2, zy, 
888,30:B4:9E:10:3F:94,-70,1,,54, WPA2 WPA, CCMP,PSK,-70,7,0,   0.  0.  0.  0,3,888, 
 TP-LINK_367C,80:89:17:9B:36:7C,-72,1,,54, WPA2 WPA, CCMP,PSK,-72,19,0,   0.  0.  0.  0,12, TP-LINK_367C, 
 PKUFI-CY,EC:6C:9F:9F:ED:79,-70,6,,54, WPA2, CCMP,PSK,-70,8,0,   0.  0.  0.  0,8, PKUFI-CY, 
 \xE7\xA7.\xE6..1,BC:54:FC:7F:5D:AB,-69,13,,54, WPA2, CCMP,PSK,-69,3,5,   0.  0.  0.  0,7, \xE7\xA7.\xE6..1, 
 TP-LINK_D140,78:44:FD:5B:D1:40,-72,11,,54, WPA2 WPA, CCMP,PSK,-72,24,0,   0.  0.  0.  0,12, TP-LINK_D140, 
603,34:CE:00:35:F6:C8,-69,4,,54, WPA2, CCMP TKIP,PSK,-69,26,17,   0.  0.  0.  0,3,603, 
 HiWiFi_2EF8AC,D4:EE:07:2E:F8:AC,-69,7,,54, WPA2, CCMP,PSK,-69,29,0,   0.  0.  0.  0,13, HiWiFi_2EF8AC, 
 scxt,40:31:3C:0D:58:C5,-68,5,,54, WPA2, CCMP TKIP,PSK,-68,7,15,   0.  0.  0.  0,4, scxt, 
 HUAWEI-LSE2WQ_HiLink,A4:9B:4F:AC:B2:20,-68,1,,54, WPA2, CCMP,PSK,-68,1,0,   0.  0.  0.  0,20, HUAWEI-LSE2WQ_HiLink, 
 GX-360,C4:36:55:43:70:9B,-69,4,,54, WPA2, CCMP,PSK,-69,19,2,   0.  0.  0.  0,6, GX-360, 
 lyb,50:BD:5F:AE:A7:A2,-64,6,,54, WPA2 WPA, CCMP,PSK,-64,28,0,   0.  0.  0.  0,3, lyb, 
 360WiFi-3B1275,A4:56:02:3B:12:75,-67,9,,54, WPA2, CCMP,PSK,-67,36,10,   0.  0.  0.  0,14, 360WiFi-3B1275, 
 CU_AmGA,9C:32:A9:73:03:31,-64,11,,54, WPA2, CCMP,PSK,-64,22,0,   0.  0.  0.  0,7, CU_AmGA, 
0,FC:D7:33:CA:11:6C,-72,6,,54, WPA2 WPA, CCMP,PSK,-72,12,0,   0.  0.  0.  0,4,0, 
 360\xE6.\xA9\xE6.\xA6\xE4\xB8.\xE7\xBD.-3b1278,A4:56:02:3B:12:78,-69,9,,54, OPN, ,   ,-69,33,9, 192.168.  0.  1,22, 360\xE6.\xA9\xE6.\xA6\xE4\xB8.\xE7\xBD.-3b1278, 
 TP-LINK_702,D0:76:E7:50:13:54,-65,11,,54, WPA2, CCMP,PSK,-65,37,1,   0.  0.  0.  0,11, TP-LINK_702, 
 SungoaStudios,B8:08:D7:71:D4:A8,-74,11,,54, WPA2, CCMP,PSK,-74,35,1,   0.  0.  0.  0,13, SungoaStudios, 
 wdm,BC:54:FC:01:75:FC,-69,10,,54, WPA2, CCMP,PSK,-69,25,2,   0.  0.  0.  0,3, wdm, 
